,Season,Squad,# Pl,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,# Pl Against,90s Against,Gls Against,Sh Against,SoT Against,SoT% Against,Sh/90 Against,SoT/90 Against,G/Sh Against,G/SoT Against,Dist Against,FK Against,PK Against,PKatt Against,xG Against,npxG Against,npxG/Sh Against,G-xG Against,np:G-xG Against,Squad-Season,xG per 90,xG Against per 90,G per 90,G Against per 90,G - xG per 90,Gc - xGc per 90
0,2017,Arsenal,30,38,73,590,227,38.5,15.53,5.97,0.12,0.3,17.4,30,4,5,68.4,64.6,0.11,4.6,4.4,30,38,51,419,142,33.9,11.03,3.74,0.11,0.32,16.6,12,5,6,50.5,46,0.11,0.5,0,Arsenal-2017,1.8,1.328947368,1.921052632,1.342105263,0.121052632,-0.013157895
1,2017,Bournemouth,22,38,45,473,153,32.3,12.45,4.03,0.09,0.27,17.5,13,3,3,44.8,42.5,0.09,0.2,-0.5,22,38,60,547,171,31.3,14.39,4.5,0.11,0.34,16.7,15,2,3,61.4,59.3,0.11,-1.4,-1.3,Bournemouth-2017,1.178947368,1.615789474,1.184210526,1.578947368,0.005263158,0.036842105
2,2017,Brighton,24,38,33,381,113,29.7,10.03,2.97,0.07,0.25,17.9,3,5,7,37.2,31.8,0.09,-4.2,-3.8,24,38,49,560,171,30.5,14.74,4.5,0.09,0.28,17.9,31,1,3,52.6,50.3,0.09,-3.6,-2.3,Brighton-2017,0.978947368,1.384210526,0.868421053,1.289473684,-0.110526316,0.094736842
3,2017,Burnley,24,38,35,388,126,32.5,10.21,3.32,0.09,0.28,15.9,16,0,0,34.5,34.5,0.09,0.5,0.5,24,38,38,569,160,28.1,14.97,4.21,0.06,0.22,17.9,13,3,5,51.8,48.3,0.09,-13.8,-13.3,Burnley-2017,0.907894737,1.363157895,0.921052632,1,0.013157895,0.363157895
4,2017,Chelsea,26,38,60,602,209,34.7,15.84,5.5,0.09,0.27,17.4,19,3,3,57.9,55.7,0.09,2.1,1.3,26,38,36,374,116,31,9.84,3.05,0.09,0.29,17.6,11,2,2,35.3,33.8,0.09,0.7,0.2,Chelsea-2017,1.523684211,0.928947368,1.578947368,0.947368421,0.055263158,-0.018421053
5,2017,Crystal Palace,28,38,44,466,133,28.5,12.26,3.5,0.08,0.27,17,20,8,10,56.1,48.9,0.11,-12.1,-12.9,28,38,53,467,167,35.8,12.29,4.39,0.11,0.31,16.8,21,2,2,50.6,49.1,0.11,2.4,1.9,Crystal Palace-2017,1.476315789,1.331578947,1.157894737,1.394736842,-0.318421053,-0.063157895
6,2017,Everton,30,38,42,359,108,30.1,9.45,2.84,0.1,0.34,16.9,8,5,8,41.5,35.2,0.1,0.5,1.8,30,38,58,541,175,32.3,14.24,4.61,0.1,0.31,18.1,19,3,5,52.3,48.8,0.09,5.7,6.2,Everton-2017,1.092105263,1.376315789,1.105263158,1.526315789,0.013157895,-0.15
7,2017,Huddersfield,25,38,25,362,105,29,9.53,2.76,0.06,0.22,18.1,13,2,2,31.7,30.2,0.09,-6.7,-7.2,25,38,57,440,153,34.8,11.58,4.03,0.12,0.35,16.5,19,4,6,55.2,50.5,0.12,1.8,2.5,Huddersfield-2017,0.834210526,1.452631579,0.657894737,1.5,-0.176315789,-0.047368421
8,2017,Leicester City,27,38,53,418,137,32.8,11,3.61,0.11,0.35,17,12,5,6,48.1,43.5,0.11,4.9,4.5,27,38,58,489,161,32.9,12.87,4.24,0.11,0.35,18,14,2,4,49.9,46.9,0.1,8.1,9.1,Leicester City-2017,1.265789474,1.313157895,1.394736842,1.526315789,0.128947368,-0.213157895
9,2017,Liverpool,27,38,82,642,228,35.5,16.89,6,0.12,0.35,17.1,22,2,3,72.8,70.5,0.11,9.2,9.5,27,38,38,273,96,35.2,7.18,2.53,0.12,0.35,17,10,4,6,34,29.5,0.11,4,4.5,Liverpool-2017,1.915789474,0.894736842,2.157894737,1,0.242105263,-0.105263158
